Filename	Title	StartDateTime	Duration (minutes)	Genre1	Genre2	Synopsis Short	Synopsis Medium	Synopsis Long
5104636062555440832	Saira Khan's Pakistan Adventure	31/08/2007	60	factual/travel		Saira Khan encounters the painter-laureate of Lahore's red light district.	Former Apprentice contestant Saira Khan takes an epic journey through Pakistan. She meets the painter-laureate of the Lahore's red light district and the country's President.	Former Apprentice contestant Saira Khan's journey through Pakistan takes her from the city of Lahore and through the isolated mountains of the north. She encounters the painter-laureate of Lahore's red light district and a whirling Sufi drummer, and meets the country's President as well as one of his opponents, the former national cricket captain Imran Khan. She ends her journey at her family home in Kashmir, where she has an emotional reunion with relatives and prays at her father's grave.
5105777664862718183	Vet Safari	03/09/2007	30	factual/petsandanimals:factual/scienceandnature	documentaries	On assignment in Namibia, the family are testing wild lions for the FIV virus.	Series following an English pet vet turned African big game vet. On assignment in Namibia, the family test wild lions for the FIV virus and Emma has to dart and sedate some cubs.	Series following an English pet vet turned African big game vet and her family. On assignment in Namibia, the family are testing wild lions for the FIV virus and Emma's skills are put to the test when she has to dart and sedate some young lion cubs. Phoebe meets a feisty cheetah orphan with a broken leg, which Emma operates on. Everyone celebrates Phoebe's second birthday on the Namibia coast. Shaun tracks an illusive Brown Hyena in the Namib Desert as part of an important environmental project.
5106137153625393471	Real Men	04/09/2007	60	factual	documentaries	Documentary about the men who make dives to the North Sea sea bed to look for oil.	Documentary about the bizarre working life of the men who search the North Sea sea bed for oil.	Jess, Martin and Stu regularly dive to 200 metres under the North Sea to satisfy our insatiable desire for oil. They live for a month in a tiny metal chamber in the heart of a ship, under pressure, so they can make regular excursions to the sea bed without suffering decompression sickness. Breathing a helium/oxygen mix and travelling to the sea bed in a diving bell that looks like a space ship, the trio exist in a bizarre and remarkable world that has rarely been seen before.
5108723153434317714	Ultimate Wild Water	25/10/2007	60	factual/scienceandnature	documentaries	Kate Silverton journeys through Britain's fastest flowing rivers and most turbulent seas.	Kate Silverton abandons the safety of her BBC studio to embark on an adrenalin-fuelled journey through Britain's fastest flowing rivers and most turbulent seas.	Journalist Kate Silverton abandons the safety of her BBC studio to embark on an adrenalin-fuelled journey of discovery through Britain's fastest flowing rivers and most turbulent seas. Amid the pounding North Cornish surf, Kate's childhood fear of open water dramatically re-awakens. Now she must conquer not only strong currents, huge waves and white water, but also her own worst nightmares.
5113580761446097542	Real Men	24/09/2007	30	factual	documentaries	A look at the men - and one woman - who maintain Britain's buoys and lighthouses.	By helicopter and ship, a group of men - and one woman - work around the clock to maintain the buoys, light ships and lighthouses that keep our shipping lanes open for business.	How many men does it take to change a lightbulb? By helicopter and ship, a group of men - and one woman - work around the clock to maintain the buoys, light ships and lighthouses that keep our shipping lanes open for business. On board ship, Nicky may be new to the job, but she proves that there's not much she doesn't know about buoys.
5113588492387230304	Vet Safari	24/09/2007	30	factual/petsandanimals:factual/scienceandnature	documentaries	Series following an English pet vet turned African big game vet and her family.	Series following an English pet vet turned African big game vet and her family. Two young blesbok are separated from their mothers, so Emma takes them in and rears them herself.	Series following an English pet vet turned African big game vet and her family. It's the start of a new wildlife capture season for Shaun and Emma. They're after a white rhino, but things come to a halt for daughter Phoebe, who needs a nappy change in the wild. During a helicopter capture two young blesbok are separated from their mothers, so Emma decides to take them in and rear them herself. The family visit a wildlife auction which brings up some issues about the wildlife industry for Emma.
5120215198258444599	Timeshift	12/10/2007	120	factual/history:factual/politics	documentaries	Political commentator Andrew Marr assesses what it takes to be a successful British PM.	Andrew Marr and a panel of experts assess what it takes to be a successful British premier, based on the performance of the twenty prime ministers of the 20th century.	Political commentator Andrew Marr assesses what it takes to be a successful British premier based on the performance of the twenty prime ministers of the 20th century. Advocates such as Martin Bell, Helena Kennedy, Simon Schama and the late Bill Deedes champion their favourite PM in short films, while Andrew and a panel of historians and journalists debate what qualities they brought to the role and how successfully they did it, before coming to a decision on who was the greatest.
5125058632047937012	The Truth About Property	25/10/2007	60	factual/homesandgardens	reality	A new three-part series on the difficulties of buying a home.	New series on the difficulties of buying a home. Andrew Verity discovers just how far homebuyers stretch themselves to get on the housing ladder.	A new three-part series on the difficulties of buying a home. Getting on and staying on the property ladder has never been so difficult. Whether you are buying, selling or trying to keep up with the mortgage payments no-one seems certain where the market is headed. Andrew Verity travels the country discovering just how far homebuyers stretch themselves to get on the ladder and questions if they are wise to do so now. And he meets those already there battling to keep their homes.
5129558040617440365	Visions of the Future	06/11/2007	60	factual/scienceandnature	documentaries	A look at how artificial intelligence is set to become as ubiquitous as electricity.	Theoretical physicist Michio Kaku shows how AI will become ubiquitous this century and how robots with human-level intelligence may become a reality.	Theoretical physicist and futurist Michio Kaku shows how, in the 21st century, artificial intelligence is going to become as ubiquitous as electricity, how robots with human-level intelligence may finally become a reality, and how we'll even be able to merge our minds with machine intelligence. As the challenges and choices are literally mind-bending, Dr Kaku asks how far we will ultimately go.
5130309229567302144	The Truth About Property	08/11/2007	60	factual/homesandgardens	reality	Andrew Verity meets people who think they have solved their property-buying problems.	A three-part series on the difficulties of buying a home. Andrew Verity meets people who think they have solved their property-buying problems.	A three-part series on the difficulties of buying a home. Andrew Verity meets people who think they have solved their property-buying problems, but have they really found an effective solution? And he asks whether building more homes is the only true way out of Britain's housing shortage.
5130659699728866130	The Dodo's Guide to Avoiding Extinction	09/11/2007	60	factual/scienceandnature	documentaries	Documentary looking at the different causes of species extinction.	Using the dodo's story as a cautionary tale, this documentary looks at the different causes of species extinction and asks whether there is anything we can do to stop them.	In light of the extinction crisis facing the Earth and using the dodo's story as a cautionary tale, this documentary looks at the different causes of species extinction and asks whether there is anything we can do to stop them.
5132160790798818890	Visions of the Future	13/11/2007	60	factual/scienceandnature	documentaries	Dr Kaku warns that we may end up in a world divided by genetic apartheid.	Theoretical physicist and futurist Michio Kaku looks at the revolution in genetics, which promises health and longevity but also raises ethical questions.	Leading theoretical physicist and futurist Michio Kaku looks at the revolution in genetics and biotechnology, which promises unprecedented health and longevity but also raises the spectre of a Frankenstein future of genetically engineered people. Will we, as transhumanists expect, evolve into a new species? Dr Kaku warns that we may end up in a world divided by genetic apartheid.
5134749367588120522	Visions of the Future	20/11/2007	60	factual/scienceandnature	documentaries	A look at how quantum physics will enable mankind to alter the building blocks of matter.	Theoretical physicist and futurist Michio Kaku shows how quantum physics is giving mankind the power to manipulate the fundamental building blocks of matter.	Theoretical physicist and futurist Michio Kaku shows how quantum physics is giving mankind the almost godlike power to manipulate the fundamental building blocks of matter. Science fiction ideas like the space elevator, teleportation, invisibility cloaks, or nanosized molecular machines might soon become a reality. But will we use our unprecedented scientific mastery wisely?
5137350828449100326	No Plan, No Peace	27/11/2007	50	factual/politics	documentaries	A former British general describes the failure to plan for Iraq's peace as a defeat.	How the British and US governments invaded Iraq with no plan for bringing peace and democracy to a country with no history of either.	John Ware relates the inside story of how the British and American governments invaded Iraq but had no plan for what happened next - how to bring peace and democracy to a country of 26 million with no history of either. One former British general who was part of the reconstruction team described the failure by Washington and London to plan properly for the peace as 'snatching defeat from the jaws of victory'.
5138091711137870315	The Nature of Britain: A User's Guide	29/11/2007	60	factual/petsandanimals:factual/scienceandnature	documentaries	Chris Packham explores some of Britain's rarest wildlife in wildernesses.	Chris Packham explores some of Britain's rarest wildlife in wildernesses from Exmoor in Devon to the Scottish Highlands.	Chris Packham explores some of Britain's rarest wildlife in wildernesses from Exmoor in Devon to the Scottish Highlands.
5139568320894207394	The Satellite Story	03/12/2007	60	factual/scienceandnature	documentaries	Documentary celebrating the 50th anniversary of the first satellite, Sputnik.	Documentary which explores how satellites have affected almost every aspect of our lives, from spy satellites and GPS transforming the military to the communications revolution.	Documentary celebrating the 50th anniversary of the first satellite, Sputnik, which launched the space age in 1957. The film explores how satellites have affected almost every aspect of our lives, from spy satellites and GPS transforming the military to the communications revolution kickstarted by Telstar. But recent events in China have revealed just how vulnerable we might be, for they suggest we might be on the verge of another new age, one of satellite terrorism.
5141035910389041992	Heston Blumenthal: In Search of Perfection	07/12/2007	30	factual/foodanddrink		Heston travels to the Washington DC Chilli Cook-Off to recreate the dish chilli con carne.	Culinary alchemist Heston Blumenthal recreates favourite dishes: this time, chilli con carne. He visits Washington DC to sample the 'Chuck Norris chilli'.	Culinary alchemist Heston Blumenthal recreates favourite dishes: this time, chilli con carne. The quest takes him to the Washington DC Chilli Cook-Off competition where he samples the 'Chuck Norris chilli', and a chocolate chilli. Convinced that the essence of the dish lies in its heat, he samples a variety of chilli peppers including the Somalian Hot and the Devil's Penis. The finished dish includes bourbon and beef short ribs, accompanied by a sour cream sorbet and sweetcorn muffin.
5142915818404712489	Timeshift	12/12/2007	60	factual/history	documentaries	Colin Shindler returns to Manchester to find out what it was really like to live in 1957.	Writer Colin Shindler revisits his Manchester childhood to tell his own story of 1957, the year when Harold Macmillan declared that 'most of our people have never had it so good'.	Writer Colin Shindler returns to Manchester to revisit his childhood and tell his own intensely personal, boys own story of a paradoxical year, 1957, the one in which prime minister Harold Macmillan declared that 'most of our people have never had it so good'. In the company of leading historians, he takes a snapshot of 1957 to explore what it was really like to live in Never Had It So Good Britain and to find out whether Macmillan was right.
5145138463150184862	The Eight Hundred Million Pound Railway Station	18/12/2007	30	factual	documentaries	The story of architect Alastair Lansley, whose expensive vision unnerved the engineers.	St Pancras station sits on the first new major British railway line in over a century. This series tells the story of its construction.	St Pancras station sits at the end of a massive 5.8 billion pound railway line - the first major British line to be built for over a century. This new series tells the story of the architects, engineers and spin doctors who entered a frantic two year race to make the Royal Opening on time. There were huge financial incentives, but many personal reputations at stake. This episode tells the story of architect Alastair Lansley, whose expensive artistic vision unnerved the engineers.
5145510836814748271	James May's Top Toys	19/12/2007	60	entertainment:factual:factual/antiques		James May presents a celebration of the toys which have survived across the decades.	James May presents a celebration of the toys which have survived across the decades, including Meccano, Lego, Scalextric and Airfix. James's all-time number one is the train set.	A celebration of the toys which have survived across the decades, presented by a man who still plays with them.  When James May was three, his father gave him a toy car for Christmas, and a life behind the wheel and under a bonnet became his destiny. Forty-two-year-old James takes us on a tour of his childhood mind as he rifles through his boy toy favourites which include Meccano, Lego, Scalectrix, Airfix and, his all time number one toy, the train set. His love of engineering and building things has shaped the ingredients of his entire toy cupboard. There's not a microchip in sight. He still plays with his toys - still loves building things with his various sets. Each toy prompts a story - a history told via archive, anecdote and obsessive collector.
5145870325577423687	The Eight Hundred Million Pound Railway Station	20/12/2007	30	factual	documentaries	In this episode, the engineers try to finish the base of the station.	This series tells the story of the architects, engineers and spin doctors trying to complete St Pancras station and its adjoining cross-country railway line on time.	The redeveloped St. Pancras station sits at the end of a 5.8 billion pound railway line. It is the first major British line to be built for over a century. This series tells the story of the architects, engineers and spin doctors who entered a two year race to complete the station and the line on time. In this episode, the engineers try to finish the base of the station, incurring a 50,000 pound penalty from their bonuses everyday they go over deadline.
5146250430183119943	Heston Blumenthal: In Search of Perfection	21/12/2007	30	factual/foodanddrink		Heston makes trifle with olives and strawberries, and milks a cow into a bowl of cider.	Culinary alchemist Heston Blumenthal makes his version of the common English trifle. He includes olives and strawberries, and milks a cow into a bowl of cider.	Culinary alchemist Heston Blumenthal makes his version of the common English trifle. Unimpressed by an instant trifle kit, Heston meets with food historian Ivan Day. Together they milk a cow into a bowl of cider in an attempt to recreate the trifles of yore. A trip to Spain secures the perfect sherry and gives Heston the idea to use black olives. Food scientist Jon Prinz uses a tampon to teach Heston what makes custard taste creamy, and Heston makes his own hundreds and thousands.
5146258161124252727	Heston Blumenthal: In Search of Perfection	21/12/2007	60	factual/foodanddrink		Heston cooks a Christmas feast for guests including Richard E Grant and Sue Perkins.	Heston makes a Christmas feast for Terry Wogan, Kirsty Wark, Dara O Briain, Rob Brydon, Richard E Grant and Sue Perkins.	Heston makes a Christmas feast for Terry Wogan, Kirsty Wark, Dara O Briain, Rob Brydon, Richard E Grant and Sue Perkins. The guests are given mulled wine that is hot and cold in the same glass and edible Christmas baubles filled with salmon mousse. Then a panel is opened to reveal the dining table, nestled amidst a snow covered forest of Christmas trees. Via video link, Heston explains to his guests what they are eating, and the story of its creation.
5147000331473002831	The Eight Hundred Million Pound Railway Station	23/12/2007	30	factual	documentaries	The commercial director is determined the station will be a luxury destination in itself.	This series tells the story of the architects, engineers and spin doctors trying to complete St Pancras station and its adjoining cross-country railway line on time.	This series tells the story of the architects, engineers and spin doctors who raced to complete the new St Pancras station and its adjoining cross-country railway line on time. In this episode, commercial director Mike Luddy is determined to make the station a luxury destination in its own right. He rejects McDonalds and TieRack in favour of gastropubs and fine restaurants. The station's highlights will be the longest champagne bar in Europe and a nine-metre-tall bronze statue.
5147008062414135612	The Eight Hundred Million Pound Railway Station	23/12/2007	30	factual	documentaries	As spin doctors and marketing gurus begin to promote the new station, deadlines slip.	Documentary series charting the redevelopment of St Pancras station. As spin doctors and marketing gurus begin to promote the new station, deadlines are slipping.	Documentary series charting the redevelopment of St Pancras station. A team of spin doctors and marketing gurus attempt to convince press and public that a place synonymous with prostitution, drugs and violent crime has been transformed into the chic destination station for Europe. But as deadlines slip, the picture looks different on the ground. Plus, there are critical problems with the cherry on the St Pancras cake - a nine-metre statue specially commissioned for the station.
5147015793355268441	The Eight Hundred Million Pound Railway Station	23/12/2007	30	factual	documentaries	While work continues, Her Majesty the Queen has agreed to open the redeveloped St Pancras.	Documentary series charting the redevelopment of St Pancras station. An enormous opening ceremony is planned, and Her Majesty the Queen has agreed to open the station.	Documentary series charting the redevelopment of St Pancras station. While the builders and engineers labour seven days a week to try to finish major construction works, head of marketing Jon Teeman plans an enormous opening ceremony. Her Majesty the Queen has agreed to open the station.
5151430160742100479	The Shadow in the North	04/01/2008	95	drama		One-off drama. Sally Lockhart crosses paths with the nefarious industrialist Axel Bellman.	One-off drama based on the novel by Philip Pullman. Sally Lockhart crosses paths with the nefarious industrialist Axel Bellman, the richest and most powerful man in Europe.	One-off drama based on the novel by Philip Pullman. Sally Lockhart crosses paths with the nefarious industrialist Axel Bellman, the richest and most powerful man in Europe. She's determined to prove him guilty of corruption and fraud, whilst Bellman will stop at nothing to destroy her case.
5151808976857607484	Top Gear	05/01/2008	60	factual/carsandmotors	magazinesandreviews	Jeremy, James and Richard take the new BMW M3, Mercedes C63 AMG and Audi RS4 to Spain.	In the last show of the series, Jeremy, James and Richard take the new BMW M3, Mercedes C63 AMG and Audi RS4 to Spain for a thorough test of performance.	Jeremy, James and Richard take the new BMW M3, Mercedes C63 AMG and Audi RS4 to Spain. In a thorough test of performance, they find out which one has the best handling and which one makes you look like a hair gelled weasel. James tests the brand new Jaguar XF. Dr Who star David Tennant is the 'star in a reasonably priced car'. Plus, the boys make the ultimate Christmas present by turning a G-Wiz into a high performance radio controlled car.
5156754202235452885	The Really Wild Show	18/01/2008	25	childrens/factual		Wildlife show. Michaela Strachan looks at the pros and cons of keeping big cats as pets.	Children's wildlife series with Nick Baker, Michaela Strachan, Steve Backshall and Eils Hewitt. Michaela looks at the pros and cons of keeping big cats as pets.	Children's wildlife series with Nick Baker, Michaela Strachan, Steve Backshall and Eils Hewitt. Michaela looks at the pros and cons of keeping big cats as pets.
5157404889747570804	A Passion for Plants	20/01/2008	30	factual/homesandgardens	documentaries	One of the new intake at the School of Horticulture learns to prune an apple tree.	Documentary series going behind the scenes of The Royal Horticultural Society. New student Laura learns to prune an apple tree, and plant fanatics take part in an orchid show.	Documentary taking a look behind the scenes of The Royal Horticultural Society. Laura Crowe is one of the new intake of students at the society's School of Horticulture and gets started on how to prune an apple tree. Also, plant fanatics take part in the annual orchid ohow and the design of a new garden at Wisley is put to the RHS council.
5158609628107326661	The Really Wild Show	23/01/2008	25	childrens/factual		Wildlife series with Nick Baker, Michaela Strachan, Steve Backshall and Eils Hewitt.	Children's wildlife show with Nick Baker, Michaela Strachan, Steve Backshall and Eils Hewitt. Nick heads to Zanzibar to see marine life, while Michaela meets iguanas.	Children's wildlife series with Nick Baker, Michaela Strachan, Steve Backshall and Eils Hewitt. Nick heads to Zanzibar in search of some spectacular marine life and Steve brings us more adventures from Oz. Michaela meets some iguanas with an enormous appetite for Florida, while Eils gets to grips with the British wildlife of yesteryear.
5159234545815667989	A Passion for Plants	25/01/2008	30	factual/homesandgardens		The curator uses dry stone walls to combat flooding.	Documentary series going behind the scenes at The Royal Horticultural Society. The curator uses dry stone walls to combat flooding, while students design and dig their allotments.	Documentary series going behind the scenes at The Royal Horticultural Society. This time we see eco-friendly gardening in practice at Harlow Carr, the society's most northerly garden. The garden is prone to flooding and this summer, curator Matthew Wilson finds an elegant yet high-tech solution using dry stone walls. Also, the students at Wisley design and dig their allotments and children in Wakefield benefit from an RHS scheme encouraging children to grow their own vegetables.
5160359397750491537	A Passion for Plants	28/01/2008	30	factual/homesandgardens	documentaries	A visit to the first flower show of the season in Cardiff.	Documentary series on The Royal Horticultural Society. The first flower show of the season in Cardiff. RHS project on an estate in Bradford sees allotments created for residents.	The third programme in this documentary series about The Royal Horticultural Society takes us to the first flower show of the season in Cardiff. A new RHS project on an estate in Bradford sees allotments created for the local residents but will anyone take them up? And a new Director General takes over at the organisation with plans to encourage more gardening around the country.
5160709867081845390	Wonderland	29/01/2008	40	factual/lifestories	documentaries	Documentary about Arthur Boyt, who treats the A30 like a delicatessen by eating roadkill.	Documentary series dealing with everyday dramas. Arthur eats roadkill. He has sampled cat, owl, squirrel, hedgehog and badger. But his vegetarian wife is receiving abusive calls.	Documentary series dealing with everyday dramas. To many, the A30 is just a road, but to retired civil servant Arthur Boyt it's more like a delicatessen. Arthur eats roadkill. He has sampled cat, barn owl, squirrel, hedgehog and badger. But his lifestyle is under attack. His isolated cottage on Bodmin moor has started receiving abusive calls from disgruntled locals. His wife, a vegetarian he met in Watford, is so afraid that she refuses to leave her bedroom. But Arthur refuses to change.
5161808949212892589	Gardeners' World	01/02/2008	30	factual/homesandgardens		Sarah Raven visits the UK's cutting gardens and calls for a Great British Cut Flower Week.	Sarah Raven visits the UK's cutting gardens to encourage the cut flower market to celebrate our native seasonal flowers with a Great British Cut Flower Week.	The sale of cut flowers in the UK is at an all time high, but cheaper land and labour costs and a warmer climate have led to overseas competitors dominating 85 per cent of the market. Presenter Sarah Raven visits the UK's most beautiful cutting gardens, where British growers are cutting their own niche in an ever expanding market, and tries to encourage the cut flower market and its consumers to celebrate our native seasonal flowers with a Great British Cut Flower Week.
